,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
226,1954182,0.2,False,De Baarsjes - Oud-West,52.36984,4.87213,Entire home/apt,2,1,1,5,150.0,14,109,True,0,0,4.9,False,75.0,2100,0.09,0.14,0.23,4.99,0.0,750.0
227,1954308,0.0,False,De Baarsjes - Oud-West,52.37484,4.86096,Entire home/apt,3,2,2,7,130.0,4,101,True,0,0,4.71,False,43.34,520,0.06,0.11,0.13,4.99,0.0,650.0
228,1957337,0.0,False,Oud-Oost,52.35818,4.91959,Entire home/apt,4,2,3,8,275.0,3,14,True,0,0,5.0,False,68.75,825,0.09,0.19,0.18,4.99,0.06027397260273973,1375.0
229,1964479,0.56,False,Oud-Noord,52.38745,4.91972,Entire home/apt,4,2,2,13,350.0,3,101,True,0,0,4.75,False,87.5,1050,0.09,0.08,0.26,4.99,0.28493150684931506,1750.0
230,1977828,0.75,False,Bos en Lommer,52.37567,4.85533,Entire home/apt,3,2,1,1,75.0,3,101,True,0,0,4.74,False,25.0,225,0.07,0.13,0.17,4.99,0.0,519.972602739726
231,2023961,0.0,False,Centrum-West,52.38232,4.88604,Entire home/apt,2,1,1,8,114.0,4,30,True,0,0,4.86,False,57.0,456,0.06,0.08,0.2,4.99,0.0,571.2328767123288
232,2074047,1.0,False,Westerpark,52.37292,4.87225,Entire home/apt,4,2,1,12,185.0,6,30,True,0,0,4.95,False,46.25,1110,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
233,2080040,0.54,True,Zuid,52.35327,4.84733,Entire home/apt,3,2,2,12,134.0,7,101,True,9,1,4.51,False,44.66,938,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
234,2080427,1.0,False,Oud-Oost,52.3522,4.91484,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4.47,False,51.0,612,0.07,0.15,0.15,4.99,0.0,510.0
235,2088011,1.0,False,Oud-Oost,52.36136,4.92817,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5.0,False,75.0,450,0.06,0.19,0.15,4.99,0.0,750.0
236,2097548,0.33,False,Noord-West,52.40325,4.91954,Entire home/apt,4,2,4,6,150.0,3,21,True,0,0,4.89,False,37.5,450,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
237,2116479,0.63,False,Westerpark,52.37957,4.86845,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4.48,False,62.5,375,0.06,0.14,0.15,4.99,0.0,625.0
238,2116719,0.31,False,Oud-Noord,52.39145,4.929,Entire home/apt,4,2,4,10,205.0,2,3,True,0,0,4.67,False,51.25,410,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
